trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.7, 'e': 0.046887695219988486}",30,13,25.047660318691847,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.04550195440462157}",25,20,9.691552563046152,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.04415716841969286}",20,16,8.686037713670476,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.04285212686704019}",25,7,31.41425770474412,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.04158565512117318}",25,19,12.702541462037306,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.04035661327203115}",30,12,30.248340066613288,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.03916389509898708}",35,26,17.464099766675677,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.038006427075174314}",20,8,18.94741797022329,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.036883167401240015}",20,11,14.45827003152126,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.0357931050676553}",30,14,24.745020861514444,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.03473525894473856}",25,14,17.398562303998347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.033708676899572416}",20,8,-17.450903121670006,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.7, 'e': 0.03271243493901982}",25,0,43.822639444720274,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.7, 'e': 0.03174563637806795}",20,0,31.02603744918903,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.7, 'e': 0.030807411032751076}",20,0,29.024057746349627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.7, 'e': 0.02989691443692632}",25,18,10.885565447234184,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.029013327082197053}",20,1,28.64430961795348,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.028155853680300106}",25,9,32.170210611825674,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.02732372244729257}",25,18,13.740692972632948,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.02651618440889418}",20,10,4.715462952441362,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.025732512726359954}",30,20,17.74561605226783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.024972002042276155}",20,11,19.10548142248866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.024233967845691123}",20,1,22.65401910412496,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.023517745856009107}",25,15,17.317809293876067,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.02282269142509298}",20,16,7.325565082879684,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.022148178957037315}",20,10,17.313571099798757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.021493601345089923}",30,18,8.037694700559479,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.020858369425214726}",20,13,14.332177619615477,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
